ID,REgion,NeedsUpdating,City,state_name,CityState,county_name,Latitude,Longitude,population,NLCD Code,ActualDescription,Terrain,Climate,CostOfLiving,MInMilesMountains,min Drive Time Mountains,MilesTo_Atlantic,MilesTo_Gulf,Min Miles to Beach,Min Drive to Beach,MinLake,Drivelake,ClosestInternationalIATA,ClosestInternationalMiles,ClosestInternationalHours,ClosestNationalIATA,ClosestNationalMiles,ClosestNationalHours,ClosestRegionalIATA,ClosestRegionalHours,ClosestRegionalMiles
32,South Atlantic,,Talmo,Georgia,Talmo-Georgia,Jackson County,34.185106,-83.7207267,290,41,Deciduous Forest,Plains,Temperate,92,40,48.0,225,302.3,225,270,14.42,17.3,ATL,54.98515051,1.1,CHA,102.7667537,2.06,MCN,2.06,103.1957163
33,South Atlantic,,Braselton,Georgia,Braselton-Georgia,Jackson County,34.1092735,-83.7626729,17390,23,"Developed, Medium Intensity",Plains,Temperate,92,45.7,54.8,223.4,296.5,223.4,268.08,14.14,17.0,ATL,49.70577615,0.99,CHA,103.9880734,2.08,MCN,1.96,98.09230798
34,South Atlantic,,Bowersville,Georgia,Bowersville-Georgia,Hart County,34.3728819,-83.0826491,427,43,Mixed Forest,Mountains,Temperate,92,35.5,42.6,209.2,330.3,209.2,251.04,13.86,16.6,GSP,60.95706884,1.22,TYS,111.9253504,2.24,AVL,1.59,79.60129708
35,South Atlantic,,Grovetown,Georgia,Grovetown-Georgia,Columbia County,33.4504157,-82.1981764,17843,71,Grassland/Herbaceous,Plains,Temperate,92,116.9,140.3,127.8,309.5,127.8,153.36,14.54,17.4,GSP,99.8597234,2,CAE,70.59492567,1.41,AGS,0.29,14.57967209
36,South Atlantic,,Waleska,Georgia,Waleska-Georgia,Cherokee County,34.3164826,-84.5521524,978,23,"Developed, Medium Intensity",Mountains,Temperate,92,27.7,33.2,267.8,295,267.8,321.36,15.23,18.3,ATL,47.32321395,0.95,CHA,61.94121951,1.24,MCN,2.47,123.6623711
37,South Atlantic,,Marietta,Georgia,Marietta-Georgia,Cobb County,33.952602,-84.5499327,63122,82,Cultivated Crops,Plains,Temperate,93,44,52.8,253.7,270.8,253.7,304.44,15.14,18.2,ATL,22.82694599,0.46,CHA,83.55514896,1.67,MCN,2.03,101.3969351
38,South Atlantic,,Hoschton,Georgia,Hoschton-Georgia,Jackson County,34.096496,-83.7612839,6723,43,Mixed Forest,Plains,Temperate,92,46.5,55.8,222.7,295.7,222.7,267.24,14.71,17.7,ATL,49.19829585,0.98,CHA,104.6004557,2.09,MCN,1.94,97.20612338
39,South Atlantic,,Union Point,Georgia,Union Point-Georgia,Greene County,33.6156831,-83.0745969,1830,24,"Developed, High Intensity",Plains,Temperate,92,81.8,98.2,171.2,286.2,171.2,205.44,15.22,18.3,ATL,77.41159755,1.55,CAE,114.4786561,2.29,AGS,1.32,66.17964081
40,South Atlantic,,Kingston,Georgia,Kingston-Georgia,Bartow County,34.2370391,-84.9441098,1100,82,Cultivated Crops,Mountains,Temperate,92,16.4,19.7,283.2,284.8,283.2,339.84,15.7,18.8,ATL,51.01408266,1.02,CHA,57.09197485,1.14,MCN,2.6,130.2110696
41,South Atlantic,,Dawsonville,Georgia,Dawsonville-Georgia,Dawson County,34.4212053,-84.1190804,4875,81,Pasture/Hay,Mountains,Temperate,92,40.6,48.7,252.8,309,252.8,303.36,16.21,19.5,ATL,56.6300108,1.13,CHA,74.7851203,1.5,AVL,2.27,113.5797536
42,South Atlantic,,Canon,Georgia,Canon-Georgia,Hart County,34.3462158,-83.1098717,705,95,Emergent Herbaceous Wetlands,Mountains,Temperate,92,35.9,43.1,208.8,328,208.8,250.56,16.2,19.4,GSP,63.30441434,1.27,TYS,112.8779093,2.26,AVL,1.64,81.90072382
43,South Atlantic,,McCaysville,Georgia,McCaysville-Georgia,Fannin County,34.9861914,-84.3713117,1165,24,"Developed, High Intensity",Mountains,Temperate,92,50.5,60.6,289.9,342.3,289.9,347.88,16.96,20.4,ATL,93.02588424,1.86,CHA,47.22207189,0.94,AVL,2.16,107.8553144
44,South Atlantic,,Taylorsville,Georgia,Taylorsville-Georgia,Bartow County,34.0862094,-84.987445,265,42,Evergreen Forest,Plains,Temperate,92,26.5,31.8,280,274.1,274.1,328.92,16.76,20.1,ATL,44.82402069,0.9,CHA,66.71803808,1.33,MCN,2.47,123.4062911
45,South Atlantic,,Dallas,Georgia,Dallas-Georgia,Paulding County,33.9237141,-84.8407732,15062,23,"Developed, Medium Intensity",Plains,Temperate,92,38.8,46.6,267.2,264.7,264.7,317.64,16.56,19.9,ATL,31.10418386,0.62,CHA,79.53342207,1.59,MCN,2.19,109.3959506
46,South Atlantic,,Mountain Park,Georgia,Mountain Park-Georgia,Fulton County,34.0809319,-84.4113164,574,21,"Developed, Open Space",Plains,Temperate,92,43,51.6,251.8,281.5,251.8,302.16,16.9,20.3,ATL,30.44110189,0.61,CHA,79.87699145,1.6,MCN,2.11,105.5109571
47,South Atlantic,,Dacula,Georgia,Dacula-Georgia,Gwinnett County,33.9887165,-83.8979573,8018,95,Emergent Herbaceous Wetlands,Plains,Temperate,92,56.2,67.4,224.2,285.7,224.2,269.04,16.62,19.9,ATL,38.42824699,0.77,CHA,103.7021224,2.07,MCN,1.81,90.68768147
48,South Atlantic,,Auburn,Georgia,Auburn-Georgia,Barrow County,34.0137179,-83.8276759,10094,43,Mixed Forest,Plains,Temperate,92,53.2,63.8,222.1,288.9,222.1,266.52,16.5,19.8,ATL,42.66780313,0.85,CHA,105.4338976,2.11,MCN,1.84,91.85070945
49,South Atlantic,,Sparta,Georgia,Sparta-Georgia,Hancock County,33.2757006,-82.9762589,1316,22,"Developed, Low Intensity",Plains,Temperate,92,105.9,127.1,152.3,270.7,152.3,182.76,16.38,19.7,ATL,86.9450272,1.74,CAE,116.2521495,2.33,MCN,1.12,56.06835931
50,South Atlantic,,Lumpkin,Georgia,Lumpkin-Georgia,Stewart County,32.0509895,-84.7990901,944,24,"Developed, High Intensity",Swamps,Temperate,92,167.6,201.1,231.4,142.2,142.2,170.64,16.99,20.4,ATL,112.0028992,2.24,CSG,33.17234071,0.66,DHN,1.27,63.28388107
51,South Atlantic,,Pendergrass,Georgia,Pendergrass-Georgia,Jackson County,34.1623292,-83.6779474,1856,71,Grassland/Herbaceous,Plains,Temperate,92,40.9,49.1,222.1,301.8,222.1,266.52,17.14,20.6,ATL,55.77233634,1.12,CHA,105.672038,2.11,MCN,2.03,101.5531339
52,South Atlantic,,Carl,Georgia,Carl-Georgia,Barrow County,34.005663,-83.8112862,229,22,"Developed, Low Intensity",Plains,Temperate,92,53.4,64.1,221,288.8,221,265.2,17.46,21.0,ATL,43.09396609,0.86,CHA,106.5025385,2.13,MCN,1.82,91.19589592
53,South Atlantic,,Avalon,Georgia,Avalon-Georgia,Stephens County,34.5020454,-83.1951567,242,82,Cultivated Crops,Mountains,Temperate,92,24.7,29.6,220.2,335.1,220.2,264.24,17.87,21.4,GSP,61.76618576,1.24,TYS,101.0710151,2.02,AVL,1.49,74.39073326
54,South Atlantic,,Martin,Georgia,Martin-Georgia,Stephens County,34.4870458,-83.1848781,348,95,Emergent Herbaceous Wetlands,Mountains,Temperate,92,25.9,31.1,219,334.4,219,262.8,17.26,20.7,GSP,61.71402635,1.23,TYS,102.2594542,2.05,AVL,1.5,75.00904476
55,South Atlantic,,Woodville,Georgia,Woodville-Georgia,Greene County,33.6715142,-83.1059865,305,71,Grassland/Herbaceous,Plains,Temperate,92,77.5,93.0,175.1,288.4,175.1,210.12,17.79,21.3,ATL,75.59296642,1.51,CAE,115.5318177,2.31,AGS,1.38,68.97449551
56,South Atlantic,,Braswell,Georgia,Braswell-Georgia,Paulding County,33.9892676,-84.9629999,368,41,Deciduous Forest,Plains,Temperate,92,33.3,40.0,275.5,267.7,267.7,321.24,18.03,21.6,ATL,39.41021443,0.79,CHA,73.55927755,1.47,MCN,2.35,117.366809
57,South Atlantic,,Hiram,Georgia,Hiram-Georgia,Paulding County,33.8756601,-84.7621592,5520,43,Mixed Forest,Plains,Temperate,92,43.3,52.0,261.6,262.5,261.6,313.92,18.13,21.8,ATL,25.51179964,0.51,CHA,83.97642431,1.68,MCN,2.08,103.9808923
58,South Atlantic,,Johns Creek,Georgia,Johns Creek-Georgia,Fulton County,34.0289259,-84.198579,81167,43,Mixed Forest,Plains,Temperate,92,55,66.0,239.8,282,239.8,287.76,18.71,22.5,ATL,29.69619433,0.59,CHA,90.03927409,1.8,MCN,1.95,97.61316981
59,South Atlantic,,Duluth,Georgia,Duluth-Georgia,Gwinnett County,34.0028787,-84.1446376,33157,24,"Developed, High Intensity",Plains,Temperate,92,58.6,70.3,236.2,281.4,236.2,283.44,18.16,21.8,ATL,29.61030562,0.59,CHA,93.3937358,1.87,MCN,1.9,94.93079298
60,South Atlantic,,Lawrenceville,Georgia,Lawrenceville-Georgia,Gwinnett County,33.9562149,-83.9879625,31877,43,Mixed Forest,Plains,Temperate,92,60.4,72.5,227,281.7,227,272.4,18.39,22.1,ATL,33.03071497,0.66,CHA,101.7363325,2.03,MCN,1.79,89.46185765
61,South Atlantic,,Madison,Georgia,Madison-Georgia,Morgan County,33.5956814,-83.467944,5131,95,Emergent Herbaceous Wetlands,Plains,Temperate,92,79.1,94.9,188.2,272.8,188.2,225.84,18.06,21.7,ATL,54.85705583,1.1,CSG,113.2108492,2.26,MCN,1.27,63.26333263
62,South Atlantic,,Lincolnton,Georgia,Lincolnton-Georgia,Lincoln County,33.7923477,-82.479018,1431,82,Cultivated Crops,Plains,Temperate,92,88.4,106.1,156.3,316.5,156.3,187.56,18.44,22.1,GSP,77.658751,1.55,CAE,78.65057126,1.57,AGS,0.83,41.58094406
63,South Atlantic,,Ivey,Georgia,Ivey-Georgia,Wilkinson County,32.9070876,-83.2907147,1009,71,Grassland/Herbaceous,Plains,Temperate,92,127.3,152.8,155.8,239.4,155.8,186.96,18.5,22.2,ATL,82.59208923,1.65,CSG,99.54517423,1.99,MCN,0.51,25.55190787
64,South Atlantic,,Deepstep,Georgia,Deepstep-Georgia,Washington County,33.0182076,-82.9690333,112,95,Emergent Herbaceous Wetlands,Plains,Temperate,92,123.1,147.7,142.5,257.3,142.5,171,18.39,22.1,ATL,94.14209141,1.88,CSG,119.5806656,2.39,MCN,0.91,45.43507048
65,South Atlantic,,Harlem,Georgia,Harlem-Georgia,Columbia County,33.4145834,-82.3126237,4076,82,Cultivated Crops,Plains,Temperate,92,114.7,137.6,130.1,303.1,130.1,156.12,18.21,21.9,GSP,102.4688202,2.05,CAE,77.57572638,1.55,AGS,0.41,20.31803302
66,South Atlantic,,Powder Springs,Georgia,Powder Springs-Georgia,Cobb County,33.8595492,-84.683824,19632,71,Grassland/Herbaceous,Plains,Temperate,92,45.9,55.1,257.1,262.5,257.1,308.52,18.92,22.7,ATL,21.42966782,0.43,CHA,86.46506802,1.73,MCN,2.01,100.3533704
67,South Atlantic,,Royston,Georgia,Royston-Georgia,Hart County,34.2870503,-83.1101483,2665,71,Grassland/Herbaceous,Mountains,Temperate,92,39,46.8,205.6,324.4,205.6,246.72,18.94,22.7,GSP,65.86289606,1.32,CAE,116.386958,2.33,AVL,1.71,85.68487519
68,South Atlantic,,Pine Mountain,Georgia,Pine Mountain-Georgia,Harris County,32.8648522,-84.8540982,1288,42,Evergreen Forest,Plains,Temperate,92,111.2,133.4,241.2,193.7,193.7,232.44,19.29,23.1,ATL,59.16911517,1.18,CSG,24.57982627,0.49,MCN,1.42,70.99528148
69,South Atlantic,,Smyrna,Georgia,Smyrna-Georgia,Cobb County,33.8839926,-84.5143761,57177,24,"Developed, High Intensity",Plains,Temperate,92,49.1,58.9,249.5,266.8,249.5,299.4,20.22,24.3,ATL,17.68413198,0.35,CHA,88.7087767,1.77,MCN,1.93,96.28725045
70,South Atlantic,,Milton,Georgia,Milton-Georgia,Fulton County,34.1321631,-84.300666,41490,42,Evergreen Forest,Plains,Temperate,92,46.2,55.4,248.6,286.8,248.6,298.32,19.94,23.9,ATL,34.65777899,0.69,CHA,80.81921618,1.62,MCN,2.13,106.314519
71,South Atlantic,,Gillsville,Georgia,Gillsville-Georgia,Banks County,34.3078817,-83.6335036,406,82,Cultivated Crops,Mountains,Temperate,92,30.5,36.6,227.1,312,227.1,272.52,20.07,24.1,ATL,64.47386986,1.29,CHA,102.3997901,2.05,AVL,1.99,99.53231494
72,South Atlantic,,Dearing,Georgia,Dearing-Georgia,McDuffie County,33.4131947,-82.3851255,535,42,Evergreen Forest,Plains,Temperate,92,112.4,134.9,132.8,300.2,132.8,159.36,20.17,24.2,GSP,102.8646191,2.06,CAE,81.32872257,1.63,AGS,0.49,24.44850407
73,South Atlantic,,Brinson,Georgia,Brinson-Georgia,Decatur County,30.9768532,-84.7376974,216,81,Pasture/Hay,Swamps,Temperate,92,241.8,290.2,239.5,83.8,83.8,100.56,20.01,24.0,TLH,46.23299789,0.92,CSG,107.0223022,2.14,DHN,0.97,48.35846669
74,South Atlantic,,Adairsville,Georgia,Adairsville-Georgia,Bartow County,34.3687021,-84.9341093,5029,23,"Developed, Medium Intensity",Mountains,Temperate,92,7.9,9.5,287.7,293.8,287.7,345.24,21.07,25.3,ATL,58.30722152,1.17,CHA,48.53363472,0.97,MCN,2.75,137.4221499
75,South Atlantic,,Fairmount,Georgia,Fairmount-Georgia,Gordon County,34.4362013,-84.6999346,766,71,Grassland/Herbaceous,Mountains,Temperate,92,17.3,20.8,279.4,301,279.4,335.28,20.95,25.1,ATL,57.27466084,1.15,CHA,50.31104423,1.01,MCN,2.7,134.7954734
76,South Atlantic,,Helen,Georgia,Helen-Georgia,White County,34.7014839,-83.7315675,630,21,"Developed, Open Space",Mountains,Temperate,92,12.3,14.8,250.5,334.9,250.5,300.6,20.59,24.7,ATL,83.20352612,1.66,TYS,78.07524001,1.56,AVL,1.69,84.2817682
77,South Atlantic,,Roswell,Georgia,Roswell-Georgia,Fulton County,34.0231553,-84.3615928,92227,41,Deciduous Forest,Plains,Temperate,93,47.8,57.4,247.2,278.6,247.2,296.64,20.8,25.0,ATL,26.65571912,0.53,CHA,84.77856555,1.7,MCN,2.01,100.6969011
78,South Atlantic,,Alpharetta,Georgia,Alpharetta-Georgia,Fulton County,34.0753762,-84.2940899,67275,95,Emergent Herbaceous Wetlands,Plains,Temperate,92,48.7,58.4,246.1,283.2,246.1,295.32,21.16,25.4,ATL,30.90738853,0.62,CHA,84.12596544,1.68,MCN,2.05,102.5197093
79,South Atlantic,,Clermont,Georgia,Clermont-Georgia,Hall County,34.4778752,-83.7735148,1141,22,"Developed, Low Intensity",Mountains,Temperate,92,23.1,27.7,241,319.7,241,289.2,20.91,25.1,ATL,68.6795299,1.37,CHA,89.85156512,1.8,AVL,1.92,96.16969327
80,South Atlantic,,Berkeley Lake,Georgia,Berkeley Lake-Georgia,Gwinnett County,33.983712,-84.1865848,2030,90,Woody Wetlands,Plains,Temperate,92,57.3,68.8,237.4,279.3,237.4,284.88,20.63,24.8,ATL,27.23886961,0.54,CHA,92.90660248,1.86,MCN,1.89,94.43710664
81,South Atlantic,,Lula,Georgia,Lula-Georgia,Hall County,34.3876013,-83.6662854,3043,81,Pasture/Hay,Mountains,Temperate,92,25.7,30.8,232.3,316.3,232.3,278.76,20.73,24.9,ATL,67.2887274,1.35,CHA,98.11319729,1.96,AVL,1.93,96.47677902
82,South Atlantic,,Franklin Springs,Georgia,Franklin Springs-Georgia,Franklin County,34.2848284,-83.1443161,1181,23,"Developed, Medium Intensity",Mountains,Temperate,92,38,45.6,206.8,323.3,206.8,248.16,20.43,24.5,GSP,67.46663072,1.35,TYS,115.8823633,2.32,AVL,1.73,86.57312656
83,South Atlantic,,Bowman,Georgia,Bowman-Georgia,Elbert County,34.2048296,-83.0307002,865,71,Grassland/Herbaceous,Mountains,Temperate,92,46.3,55.6,198.4,321.8,198.4,238.08,21.21,25.5,GSP,66.42492003,1.33,CAE,110.9148446,2.22,AGS,1.68,84.11929606
84,South Atlantic,,Hamilton,Georgia,Hamilton-Georgia,Harris County,32.7579107,-84.8749311,1799,95,Emergent Herbaceous Wetlands,Plains,Temperate,92,118.5,142.2,240.8,186.3,186.3,223.56,20.95,25.1,ATL,66.40903192,1.33,CSG,17.1010613,0.34,MCN,1.43,71.38733026
85,South Atlantic,,Gray,Georgia,Gray-Georgia,Jones County,33.0095802,-83.5337816,3541,82,Cultivated Crops,Plains,Temperate,92,119.6,143.5,171.5,236.7,171.5,205.8,20.79,24.9,ATL,67.20478767,1.34,CSG,88.46455005,1.77,MCN,0.46,22.89488566
86,South Atlantic,,Crawfordville,Georgia,Crawfordville-Georgia,Taliaferro County,33.5540209,-82.8959785,495,82,Cultivated Crops,Plains,Temperate,92,89.4,107.3,160.6,288.7,160.6,192.72,20.59,24.7,ATL,87.90276492,1.76,CAE,105.4652974,2.11,AGS,1.1,55.17746844
87,South Atlantic,,Gordon,Georgia,Gordon-Georgia,Wilkinson County,32.8820866,-83.3323848,1720,43,Mixed Forest,Plains,Temperate,92,128.8,154.6,157.3,236.6,157.3,188.76,20.76,24.9,ATL,81.80710604,1.64,CSG,96.76295205,1.94,MCN,0.45,22.58067787
88,South Atlantic,,Aragon,Georgia,Aragon-Georgia,Polk County,34.045655,-85.056058,1503,71,Grassland/Herbaceous,Plains,Temperate,92,29.5,35.4,282,270.6,270.6,324.72,21.25,25.5,ATL,46.01020929,0.92,CHA,68.89030728,1.38,MCN,2.48,123.8032975
89,South Atlantic,,Rockmart,Georgia,Rockmart-Georgia,Polk County,34.0026005,-85.0416133,5284,43,Mixed Forest,Plains,Temperate,92,32.4,38.9,279.9,267.8,267.8,321.36,21.53,25.8,ATL,43.58905583,0.87,CHA,71.94484614,1.44,MCN,2.42,121.0313096
